Riddle #,Question,Correct Answer,Fake Answer #1,Fake Answer #2
1,"You eat something you neither plant nor plow. It is the son of water, but if water touches it, it dies.",Salt,Air,Seaweed
2,My tines are long. My tines are short. My tines end ere. My first report.,Lightning,Farmers,Altitude
3,Turn us on our backs. And open up our stomachs. You will be the wisest of men. Though at start a lummox.,A book,A watch,A dog
4,"Bury deep, Pile on stones, Yet I will Dig up the bones.",Memories,Rocks,Trees
5,It occurs once in every minute. Twice in every moment. And yet never in one hundred thousand years.,The letter 'M',One Minute,Two Hours
6,"Never ahead, ever behind, Yet flying swiftly past; For a child I last forever, For adults I'm gone too fast.",Childhood,Adulthood,Teenagers
7,"Two horses, swiftest travelling, Harnessed in a pair, and Grazing ever in places. Distant from them.",The sun and the moon,The leaf and the tree,The fox and the hound
8,"It can be said: To be gold is to be good; To be stone is to be nothing; To be glass is to be fragile; To be cold is to be cruel. Unmetaphored, what am I?",A heart,A brain,A hand
9,"Round she is, yet flat as a board.  Altar of the Lupine Lords. Jewel on black velvet, pearl in the sea. Unchanged but e'erchanging, eternally.",The moon,The sun,The stars
10,"It has a golden head, It has a golden tail, but it hasn't got a body.",A golden coin,A silver bar,A bronze dagger
11,"A leathery snake, With a stinging bite, I'll stay coiled up, Unless I must fight.",A whip,A sword,A spear
12,"What has roots as nobody sees, Is taller than trees, Up, up it goes, And yet never grows?",A mountain,A tree,A river
13,"Thirty white horses on a red hill, First they champ, Then they stamp, Then they stand still.",Your teeth,Your fingers,Your ears
14,"Voiceless it cries, Wingless it flutters, Toothless bites, Mouthless mutters.",The wind,The rain,The snow
15,"It cannot be seen, cannot be felt, Cannot be heard, cannot be smelt. It lies behind stars and under hills, And empty holes it fills. It comes first and follows after, Ends life, kills laughter.",The darkness,The lightness,The coldness
16,"A box without hinges, key, or lid, Yet golden treasure inside is hid.",Eggs,Flour,Water
17,"Alive without breath, As cold as death; Never thirsty, ever drinking, All in mail never clinking.",A fish,A chicken,A duck
